age,clade,country,countryExposure,date,dateSubmitted,died,division,divisionExposure,fullyVaccinated,genbankAccession,gisaidCloade,gisaidEpiIsl,hospitalized,host,location,nextcladePangoLineage,originatingLab,pangoLineage,region,regionExposure,samplingStrategy,sex,sraAccession,strain,submittingLab
,CA,,,,,,,,,,,,,human,,,,,,,,,DQ011156,Liberia_1970_184,
,CA,,,,,,,,,,,,,human,,,,,,,,,DQ011154,Congo_2003_358,
,CA,,,,,,,,,,,,,,,,,,,,,,FV537349,UNKNOWN_FV537349,
,CA,,,,,,,,,,,,,,,,,,,,,,FV537350,UNKNOWN_FV537350,
,CA,Zaire,,,,,,,,,,,,human,,,,,Africa,,,,HM172544,Zaire_1979_005,
,WA,Portugal,,2022-05-04,,,,,,,,,,human,,,,,Europe,,,,XXXXXXXX,Monkeypox/PT0001/2022,
,CA,,,,,,,,,,,,,,,,,,,,,,AY603973,MPXV_WRAIR7_61__Walter_Reed_267,
,CA,Central African Republic,,2016-01-02,,,,,,,,,,human,,,,,Africa,,,,MN702449,B2_contig_SPADES,
,WA,Democratic Republic of the Congo,,2012-01-01,,,,,,,,,,rat,,,,,Africa,,,,MT724769,MPXV_DRC_2012_Malacomys_longipes_EPU30,
,CA,Democratic Republic of the Congo,,2014-01-01,,,,,,,,,,shrew,,,,,Africa,,,,MT724770,MPXV_DRC_2014_Crocidura__littoralis_COB771,
,CA,,,,,,,,,,,,,human,,,,,,,,,DQ011157,USA_2003_039,
,CA,Democratic Republic of the Congo,,2007-05-27,,,,,,,,,,human,,,,,Africa,,,,JX878426,DRC_07_0450,
,CA,Democratic Republic of the Congo,,2007-03-25,,,,,,,,,,human,,,,,Africa,,,,JX878423,DRC_07_0337,
,CA,Democratic Republic of the Congo,,2007-03-25,,,,,,,,,,human,,,,,Africa,,,,JX878424,DRC_07_0338,
,CA,Democratic Republic of the Congo,,2007-06-30,,,,,,,,,,human,,,,,Africa,,,,JX878428,DRC_07_0514,
,WA,Nigeria,,1971-01-01,,,,,,,,,,,,,,,Africa,,,,KJ642617,Nigeria_SE_1971,
,WA,Nigeria,,1978-01-01,,,,,,,,,,,,,,,Africa,,,,KJ642615,W_Nigeria,
,CA,Gabon,,1988-01-01,,,,,,,,,,,,,,,Africa,,,,KJ642619,Gabon_1988,
,CA,Democratic Republic of the Congo,,1985-01-01,,,,,,,,,,,,,,,Africa,,,,KP849471,Yambuku_DRC_1985,
,CA,Zaire,,1986-01-01,,,,,,,,,,,,,,,Africa,,,,KJ642612,Ikubi,
,CA,Democratic Republic of the Congo,,2008-01-01,,,,,,,,,,,,,,,Africa,,,,KP849469,Boende_DRC_2008,
,WA,Nigeria,,2017-11-09,,,,,,,,,,human,,,,,Africa,,,,MK783028,3019,
,WA,Nigeria,,2017-12-06,,,,,,,,,,human,,,,,Africa,,,,MK783029,3029,
,WA,Nigeria,,2017-11-09,,,,,,,,,,human,,,,,Africa,,,,MK783031,3020,
,,Nigeria,,2017-11-01,,,,,,,,,,human,,,,,Africa,,,,MK783032,3030,
,WA,Israel,,2018-10-04,,,,,,,,,,human,,,,,Asia,,,,MN648051,Israel_2018,
,CA,Central African Republic,,2018-03-07,,,,,,,,,,human,,,,,Africa,,,,MN702448,015c_contig_SPADES,
,CA,Central African Republic,,2016-01-01,,,,,,,,,,human,,,,,Africa,,,,MN702450,B1_contig_SPADES,
,CA,Central African Republic,,2017-04-14,,,,,,,,,,human,,,,,Africa,,,,MN702451,A6_contig_SPADES,
,CA,,,,,,,,,,,,,,,,,,,,,,NC_003310,Zaire_96_I_16,
,WA,United Kingdom,,2018-01-01,,,,,,,,,,human,,,,,Europe,,,,MT903343.1,MPXV-UK_P1,
,CA,,,,,,,,,,,,,,,,,,,,,,AY741551,Sierra_Leone,
,CA,,,,,,,,,,,,,dog,,,,,,,,,DQ011153,USA_2003_044,
,CA,Democratic Republic of the Congo,,2006-11-30,,,,,,,,,,human,,,,,Africa,,,,JX878411,DRC_06_1075,
